PROBLEM,BB_LOWER_BOUND,BB_UPPER_BOUND,BB_CTIME,HRKGA_MIN_LENGTH,HRKGA_MEAN_LENGTH,HRKGA_MIN_CTIME,HRKGA_MEAN_CTIME,GSOA_MIN_LENGTH,GSOA_MEAN_LENGTH,GSOA_MIN_CTIME,GSOA_MEAN_CTIME,CENTROID_MIN_LENGTH,CENTROID_MEAN_LENGTH,CENTROID_MIN_CTIME,CENTROID_MEAN_CTIME
3D_40_05_f,1319.8934100385854,1319.8934100385854,116.599819,,,,,1324.27,1325.0357999999999,2.0,2.82,1328.07,1328.07,0.0,0.0
3D_50_05_c,1440.4346464100972,1440.4346464100972,59.917384,,,,,1444.12,1446.3830000000005,2.0,2.86,1440.48,1440.48,0.0,0.0
3D_50_05_b,1200.0250570472692,1200.0250570472692,108.763356,,,,,1203.47,1206.1036,2.0,2.4,1201.81,1201.81,0.0,0.0
3D_50_05_a,1172.483359217132,1172.483359217132,97.047765,,,,,1178.27,1180.3947999999998,3.0,3.3,1174.81,1174.81,0.0,0.0
3D_35_05_a,1184.5034265416382,1184.5034265416382,68.43791399999999,,,,,1185.83,1186.2426,2.0,2.76,1185.19,1185.19,0.0,0.0
3D_35_05_b,1320.9321052954544,1320.9321052954544,49.384193,,,,,1323.32,1323.8292,3.0,3.22,1320.98,1320.98,0.0,0.0
3D_35_05_c,1596.8119016610683,1596.8119016610683,113.297021,,,,,1606.35,1609.0887999999998,2.0,2.7,1606.53,1606.53,0.0,0.0
3D_35_05_d,1357.9820906844188,1357.9820906844188,48.217095,,,,,1360.48,1361.5134,1.0,2.32,1360.44,1360.44,0.0,0.0
3D_35_05_e,1186.374595260626,1186.374595260626,55.964475,,,,,1188.14,1189.4922,3.0,3.04,1186.83,1186.83,0.0,0.0
3D_45_05_a,1014.1592903270696,1014.1592903270696,111.177492,,,,,1021.47,1023.1753999999996,2.0,2.42,1015.13,1015.13,0.0,0.0
3D_50_05_d,1256.5010025567756,1256.5010025567756,73.028087,,,,,1259.04,1259.9666,2.0,2.84,1257.3,1257.3,0.0,0.0
3D_45_05_b,1206.8003359283086,1206.8003359283086,50.891856,,,,,1208.43,1209.3455999999999,1.0,2.36,1208.44,1208.44,0.0,0.0
3D_45_05_d,1316.5970209728732,1316.5970209728732,69.42222799999999,,,,,1324.54,1325.6635999999996,2.0,2.98,1317.72,1317.72,1.0,1.0
3D_45_05_e,1539.480399920564,1539.480399920564,49.204274,,,,,1543.17,1544.0186000000008,2.0,2.96,1540.8,1540.8,0.0,0.0
3D_45_05_f,1438.0110595072067,1438.0110595072067,61.475408,,,,,1441.43,1442.8266000000003,2.0,2.76,1439.33,1439.33,4.0,4.0
3D_30_05_a,1095.9820256034272,1095.9820256034272,58.693504,,,,,1099.94,1101.4502000000002,2.0,2.52,1096.62,1096.62,0.0,0.0
3D_30_05_b,1378.7611852226175,1378.7611852226175,61.776526,,,,,1379.47,1380.2044,2.0,2.62,1379.67,1379.67,0.0,0.0
3D_30_05_c,1202.6817043628123,1202.6817043628123,63.236085,,,,,1206.29,1210.39,2.0,2.62,1214.54,1214.54,0.0,0.0
3D_30_05_d,1273.6460819119643,1273.6460819119643,66.749996,,,,,1280.96,1282.4818,1.0,2.22,1273.77,1273.77,0.0,0.0
3D_30_05_e,1256.694219848722,1256.694219848722,70.595384,,,,,1259.76,1264.1396000000002,1.0,2.34,1262.72,1262.72,0.0,0.0
3D_30_05_f,1674.815432339643,1674.815432339643,56.39744,,,,,1677.71,1678.7458000000004,2.0,2.76,1678.45,1678.45,0.0,0.0
